Question,Confidence Score,Correct
What was the exact number of transactions that Wholesale Banking handled in 2021?,1.0,1
How many green bonds were issued by the Government of Canada before their inaugural issuance?,1,1
In which specific sectors did TD Bank Group add senior leaders in its U.S. dollar strategy expansion?,0.6,0
What was the exact total face value of all sustainability-linked loans that Wholesale Banking participated in?,1.0,1
"How much immediately available funding did Gavi, the Vaccine Alliance receive from the International Finance Facility for Immunization Company (IFFIm) Vaccine Bonds?",0,0
What was the exact ranking of TD Bank Group in the 2020 Global Custodian Magazine Survey for Cap Intro and Client Services?,1,1
Which specific two Structuring Advisors were selected for the Government of Canada’s inaugural issuance of green bonds?,1.0,1
How many ESG-linked structured notes did the first Canadian dealer launch in 2021?,1.0,1
What was the exact total value (in billions of Canadian dollars) of marquee and strategic acquisitions advised by TD Bank Group in Canada in 2021?,0.2,0
"In which specific year did Shaw Communications announce its $26 billion acquisition by Rogers Communications, according to TD Bank Group?",1,1
What is the exact date when the Schwab transaction was completed?,1.0,1
How many designated directors does the Bank have at Symcor?,1.0,1
What is the current average daily balance in the sweep accounts under the Schwab IDA Agreement?,1.0,1
What is the servicing fee under the TD Ameritrade IDA Agreement for a non-sweep deposit account?,1.0,1
What was the total amount paid by the Bank to TD Ameritrade related to sweep deposit accounts before completion of the Schwab transaction in 2019?,1.0,1
What is the current floor for reduction of deposits under the Schwab IDA Agreement?,1.0,1
What adjustments can be made to the servicing fee under the Schwab IDA Agreement based on a specified formula?,0.8,1
What was the average insured deposit balance of TD Ameritrade prior to completion of the Schwab transaction in 2020?,1.0,1
What is the current total commitment provided by the Bank to Symcor through unsecured revolving loan facilities?,1.0,1
"What were the amounts receivable and payable to/from TD Ameritrade as at October 31, 2019?",1,1
What is the exact number of business disruptions the bank has faced in the last fiscal year?,1.0,1
Can you provide the specific details of an unexpected operational event that occurred outside the normal course of business at the bank?,1.0,1
How many times has the bank's Cybersecurity Subcommittee made recommendations to the CEO and the ERMC regarding management of risks relating to cybersecurity?,0,0
